Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2003,133,POM,1102,160
2003,133,POM,1103,163
2003,133,POM,1104,33
2003,133,POM,1105,307
2003,133,POM,1106,263
2003,133,POM,1107,312
2003,133,POM,1108,279
2003,133,POM,1110,143
2003,133,POM,1111,170
2003,133,POM,1112,3
2003,133,POM,1113,32
2003,133,POM,1114,166
2003,133,POM,1115,319
2003,133,POM,1116,128
2003,133,POM,1117,161
2003,133,POM,1119,323
2003,133,POM,1120,45
2003,133,POM,1122,123
2003,133,POM,1123,150
2003,133,POM,1124,97
2003,133,POM,1125,175
2003,133,POM,1126,316
2003,133,POM,1127,209
2003,133,POM,1128,226
2003,133,POM,1129,184
2003,133,POM,1130,36
2003,133,POM,1131,129
2003,133,POM,1132,181
2003,133,POM,1133,155
2003,133,POM,1135,137
2003,133,POM,1137,225
2003,133,POM,1138,255
2003,133,POM,1139,51
2003,133,POM,1140,26
2003,133,POM,1141,50
2003,133,POM,1142,172
2003,133,POM,1143,40
2003,133,POM,1144,318
2003,133,POM,1145,222
2003,133,POM,1147,243
2003,133,POM,1148,240
2003,133,POM,1149,269
2003,133,POM,1150,91
2003,133,POM,1151,142
2003,133,POM,1152,311
2003,133,POM,1153,35
2003,133,POM,1154,293
2003,133,POM,1155,103
2003,133,POM,1156,251
2003,133,POM,1157,257
2003,133,POM,1158,126
2003,133,POM,1159,231
2003,133,POM,1160,28
2003,133,POM,1161,87
2003,133,POM,1162,315
2003,133,POM,1163,23
2003,133,POM,1164,285
2003,133,POM,1165,291
2003,133,POM,1166,27
2003,133,POM,1168,229
2003,133,POM,1169,193
2003,133,POM,1170,228
2003,133,POM,1171,282
2003,133,POM,1172,141
2003,133,POM,1173,31
2003,133,POM,1174,191
2003,133,POM,1175,264
2003,133,POM,1176,149
2003,133,POM,1177,68
2003,133,POM,1178,70
2003,133,POM,1179,221
2003,133,POM,1180,125
2003,133,POM,1181,8
2003,133,POM,1182,210
2003,133,POM,1183,180
2003,133,POM,1184,276
2003,133,POM,1185,186
2003,133,POM,1186,105
2003,133,POM,1187,176
2003,133,POM,1189,289
2003,133,POM,1190,147
2003,133,POM,1191,171
2003,133,POM,1192,260
2003,133,POM,1193,151
2003,133,POM,1194,292
2003,133,POM,1196,6
2003,133,POM,1197,267
2003,133,POM,1198,217
2003,133,POM,1199,83
2003,133,POM,1200,281
2003,133,POM,1201,95
2003,133,POM,1202,224
2003,133,POM,1203,111
2003,133,POM,1204,216
2003,133,POM,1205,290
2003,133,POM,1206,139
2003,133,POM,1207,61
2003,133,POM,1208,10
2003,133,POM,1209,227
2003,133,POM,1210,39
2003,133,POM,1211,41
2003,133,POM,1212,297
2003,133,POM,1214,238
2003,133,POM,1216,194
2003,133,POM,1217,232
2003,133,POM,1218,121
2003,133,POM,1219,309
2003,133,POM,1220,265
2003,133,POM,1221,80
2003,133,POM,1222,198
2003,133,POM,1224,280
2003,133,POM,1225,205
2003,133,POM,1226,179
2003,133,POM,1227,76
2003,133,POM,1228,5
2003,133,POM,1229,212
2003,133,POM,1231,46
2003,133,POM,1232,237
2003,133,POM,1233,165
2003,133,POM,1234,89
2003,133,POM,1235,64
2003,133,POM,1236,277
2003,133,POM,1237,133
2003,133,POM,1238,271
2003,133,POM,1239,252
2003,133,POM,1240,190
2003,133,POM,1241,218
2003,133,POM,1242,4
2003,133,POM,1243,67
2003,133,POM,1245,106
2003,133,POM,1246,1
2003,133,POM,1247,158
2003,133,POM,1248,245
2003,133,POM,1249,246
2003,133,POM,1250,233
2003,133,POM,1251,299
2003,133,POM,1252,310
2003,133,POM,1253,294
2003,133,POM,1254,284
2003,133,POM,1256,196
2003,133,POM,1257,14
2003,133,POM,1258,215
2003,133,POM,1259,314
2003,133,POM,1260,130
2003,133,POM,1261,21
2003,133,POM,1263,192
2003,133,POM,1264,63
2003,133,POM,1265,213
2003,133,POM,1266,13
2003,133,POM,1267,169
2003,133,POM,1268,19
2003,133,POM,1269,182
2003,133,POM,1270,200
2003,133,POM,1271,322
2003,133,POM,1272,20
2003,133,POM,1273,152
2003,133,POM,1274,117
2003,133,POM,1275,146
2003,133,POM,1276,65
2003,133,POM,1277,25
2003,133,POM,1278,86
2003,133,POM,1279,58
2003,133,POM,1280,11
2003,133,POM,1281,24
2003,133,POM,1282,259
2003,133,POM,1283,94
2003,133,POM,1284,241
2003,133,POM,1285,202
2003,133,POM,1286,219
2003,133,POM,1287,153
2003,133,POM,1288,321
2003,133,POM,1289,324
2003,133,POM,1290,250
2003,133,POM,1291,298
2003,133,POM,1292,132
2003,133,POM,1293,104
2003,133,POM,1296,112
2003,133,POM,1298,295
2003,133,POM,1299,327
2003,133,POM,1301,48
2003,133,POM,1304,157
2003,133,POM,1305,73
2003,133,POM,1306,300
2003,133,POM,1307,195
2003,133,POM,1308,90
2003,133,POM,1309,183
2003,133,POM,1310,167
2003,133,POM,1311,320
2003,133,POM,1313,306
2003,133,POM,1314,59
2003,133,POM,1317,244
2003,133,POM,1318,211
2003,133,POM,1319,197
2003,133,POM,1320,189
2003,133,POM,1321,162
2003,133,POM,1322,301
2003,133,POM,1323,22
2003,133,POM,1324,185
2003,133,POM,1325,159
2003,133,POM,1326,75
2003,133,POM,1328,9
2003,133,POM,1329,29
2003,133,POM,1330,178
2003,133,POM,1331,164
2003,133,POM,1332,42
2003,133,POM,1333,118
2003,133,POM,1334,177
2003,133,POM,1335,43
2003,133,POM,1336,208
2003,133,POM,1337,156
2003,133,POM,1338,2
2003,133,POM,1339,206
2003,133,POM,1340,270
2003,133,POM,1341,253
2003,133,POM,1343,154
2003,133,POM,1344,44
2003,133,POM,1345,38
2003,133,POM,1346,234
2003,133,POM,1347,308
2003,133,POM,1348,110
2003,133,POM,1349,108
2003,133,POM,1350,88
2003,133,POM,1351,214
2003,133,POM,1352,283
2003,133,POM,1353,119
2003,133,POM,1354,230
2003,133,POM,1356,57
2003,133,POM,1357,302
2003,133,POM,1358,134
2003,133,POM,1359,204
2003,133,POM,1360,82
2003,133,POM,1361,98
2003,133,POM,1362,114
2003,133,POM,1363,278
2003,133,POM,1364,102
2003,133,POM,1365,235
2003,133,POM,1366,325
2003,133,POM,1368,254
2003,133,POM,1369,248
2003,133,POM,1371,49
2003,133,POM,1372,135
2003,133,POM,1373,138
2003,133,POM,1374,136
2003,133,POM,1375,173
2003,133,POM,1376,74
2003,133,POM,1378,122
2003,133,POM,1379,148
2003,133,POM,1380,313
2003,133,POM,1381,262
2003,133,POM,1382,84
2003,133,POM,1383,247
2003,133,POM,1384,249
2003,133,POM,1385,78
2003,133,POM,1386,18
2003,133,POM,1387,77
2003,133,POM,1388,140
2003,133,POM,1389,239
2003,133,POM,1390,30
2003,133,POM,1391,304
2003,133,POM,1392,275
2003,133,POM,1393,15
2003,133,POM,1394,258
2003,133,POM,1395,174
2003,133,POM,1396,71
2003,133,POM,1397,54
2003,133,POM,1398,326
2003,133,POM,1399,101
2003,133,POM,1400,7
2003,133,POM,1401,93
2003,133,POM,1402,199
2003,133,POM,1403,34
2003,133,POM,1404,223
2003,133,POM,1405,131
2003,133,POM,1406,317
2003,133,POM,1407,69
2003,133,POM,1408,113
2003,133,POM,1409,53
2003,133,POM,1410,305
2003,133,POM,1411,268
2003,133,POM,1412,66
2003,133,POM,1414,120
2003,133,POM,1415,274
2003,133,POM,1416,127
2003,133,POM,1417,100
2003,133,POM,1418,72
2003,133,POM,1419,242
2003,133,POM,1420,296
2003,133,POM,1421,273
2003,133,POM,1422,256
2003,133,POM,1423,47
2003,133,POM,1424,55
2003,133,POM,1425,81
2003,133,POM,1426,187
2003,133,POM,1427,272
2003,133,POM,1428,37
2003,133,POM,1429,109
2003,133,POM,1431,287
2003,133,POM,1433,116
2003,133,POM,1434,92
2003,133,POM,1435,96
2003,133,POM,1436,144
2003,133,POM,1437,62
2003,133,POM,1438,85
2003,133,POM,1439,124
2003,133,POM,1440,288
2003,133,POM,1441,286
2003,133,POM,1442,303
2003,133,POM,1443,52
2003,133,POM,1444,79
2003,133,POM,1447,188
2003,133,POM,1448,12
2003,133,POM,1449,145
2003,133,POM,1450,203
2003,133,POM,1451,60
2003,133,POM,1452,107
2003,133,POM,1453,220
2003,133,POM,1454,56
2003,133,POM,1455,115
2003,133,POM,1456,261
2003,133,POM,1457,207
2003,133,POM,1458,16
2003,133,POM,1459,201
2003,133,POM,1460,236
2003,133,POM,1461,99
2003,133,POM,1462,17
2003,133,POM,1463,168
2003,133,POM,1464,266
2004,133,CNG,1102,57
2004,133,CNG,1103,151
2004,133,CNG,1104,26
2004,133,CNG,1105,309
2004,133,CNG,1106,283
2004,133,CNG,1107,307
2004,133,CNG,1108,317
2004,133,CNG,1110,210
2004,133,CNG,1111,225
2004,133,CNG,1112,22
2004,133,CNG,1113,115
2004,133,CNG,1114,157
2004,133,CNG,1115,326
2004,133,CNG,1116,79
2004,133,CNG,1117,165
2004,133,CNG,1119,324
2004,133,CNG,1120,43
2004,133,CNG,1122,131
2004,133,CNG,1123,138
2004,133,CNG,1124,187
2004,133,CNG,1125,124
2004,133,CNG,1126,314
2004,133,CNG,1127,260
2004,133,CNG,1128,192
2004,133,CNG,1129,61
2004,133,CNG,1130,41
2004,133,CNG,1131,125
2004,133,CNG,1132,159
2004,133,CNG,1133,149
2004,133,CNG,1135,219
2004,133,CNG,1137,202
2004,133,CNG,1138,119
